Image_ID, shops shutter,Bike,Motor Bike,Flower,Flower box,Grass,Plant cover,Path and sidewalk,Person in group,Person standing,Person sitting,Trees with oval shape,Water,Trees with columnar shape,Autos,Sky,Palm trees,Dome,Sunshade,merge_E_H_N,merge_B_C_D_,Wall_pixels
ChbaghL,0.0,0.0,0.0,0.0,0.0,0.0,38935.0,251985.0,17.0,19464.0,0.0,0.0,140.0,118234.0,0.0,503.0,0.0,0.0,1230.0,8.0,403.0,0.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,0.0,55870.0,237304.0,568.0,5933.0,0.0,0.0,454.0,62139.0,0.0,0.0,0.0,0.0,3808.0,0.0,254.0,6440.0
ChbaghL,0.0,0.0,0.0,0.0,0.0,12.0,59906.0,324352.0,0.0,2857.0,0.0,0.0,0.0,152845.0,0.0,37940.0,0.0,0.0,0.0,3620.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,0.0,0.0,9360.0,0.0,63353.0,75680.0,0.0,557.0,0.0,0.0,11.0,0.0,0.0,14662.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,388.0,48203.0,251678.0,0.0,17385.0,0.0,0.0,51567.0,157834.0,0.0,0.0,0.0,0.0,5560.0,75.0,0.0,27.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,1.0,47799.0,264470.0,0.0,6178.0,88.0,0.0,75380.0,155293.0,0.0,23906.0,0.0,0.0,0.0,0.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,181.0,35934.0,244878.0,0.0,11536.0,0.0,0.0,62516.0,89476.0,0.0,1286.0,0.0,0.0,767.0,35.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,269.0,55076.0,241038.0,0.0,13369.0,0.0,0.0,60541.0,103361.0,0.0,1747.0,0.0,0.0,0.0,0.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,2679.0,12362.0,170417.0,0.0,35840.0,642.0,0.0,91578.0,544153.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,600.0,33502.0,154128.0,0.0,57984.0,14261.0,0.0,62389.0,151595.0,0.0,9327.0,0.0,0.0,0.0,9707.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,0.0,58277.0,281368.0,0.0,5666.0,0.0,0.0,76703.0,130122.0,0.0,4017.0,0.0,0.0,0.0,237.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,13203.0,51162.0,249877.0,0.0,13551.0,0.0,0.0,56908.0,179549.0,11.0,5725.0,0.0,0.0,366.0,1275.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,0.0,30821.0,249874.0,1753.0,28164.0,0.0,0.0,68348.0,67910.0,0.0,239.0,0.0,0.0,2478.0,0.0,0.0,160.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,0.0,4083.0,116.0,0.0,129.0,0.0,0.0,59790.0,1117.0,0.0,0.0,0.0,0.0,453.0,0.0,0.0,84031.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,0.0,31969.0,237570.0,0.0,14291.0,0.0,0.0,67011.0,111067.0,0.0,2870.0,0.0,0.0,0.0,0.0,0.0,0.0
ChbaghMid,0.0,406.0,118.0,0.0,0.0,11.0,56381.0,175919.0,0.0,11985.0,0.0,0.0,48612.0,232758.0,0.0,0.0,0.0,0.0,0.0,1095.0,0.0,0.0
ChbaghMid,19.0,0.0,0.0,0.0,0.0,0.0,3881.0,48145.0,0.0,2800.0,14.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,107.0,204020.0,0.0,0.0
ChbaghMid,0.0,0.0,0.0,0.0,0.0,489.0,23169.0,225661.0,0.0,47794.0,1841.0,0.0,69815.0,211902.0,0.0,5461.0,0.0,0.0,0.0,1221.0,0.0,0.0
ChbaghR,21.0,0.0,0.0,0.0,0.0,0.0,0.0,25755.0,0.0,51070.0,0.0,0.0,0.0,5661.0,0.0,691.0,0.0,0.0,0.0,228958.0,27.0,0.0
ChbaghR,0.0,255.0,742.0,0.0,0.0,10.0,29557.0,301171.0,54.0,25083.0,0.0,0.0,0.0,116695.0,0.0,13561.0,0.0,0.0,0.0,27.0,3.0,0.0
ChbaghR,0.0,345.0,43.0,0.0,0.0,0.0,49731.0,296470.0,0.0,24046.0,0.0,0.0,0.0,86711.0,0.0,1373.0,0.0,0.0,0.0,0.0,0.0,173.0
ChbaghR,656.0,0.0,0.0,0.0,0.0,0.0,41365.0,260476.0,1305.0,37838.0,0.0,0.0,175.0,49751.0,0.0,2973.0,271.0,0.0,0.0,0.0,4771.0,1013.0
ChbaghR,0.0,0.0,0.0,0.0,0.0,0.0,64743.0,340161.0,0.0,13492.0,0.0,0.0,0.0,233845.0,0.0,11771.0,0.0,0.0,0.0,0.0,37.0,11.0
ChbaghR,0.0,0.0,0.0,0.0,0.0,1.0,54524.0,320010.0,0.0,10105.0,0.0,0.0,0.0,86303.0,0.0,4584.0,0.0,0.0,0.0,2745.0,0.0,0.0
ChbaghR,313351.0,0.0,0.0,0.0,0.0,0.0,1254.0,6444.0,16907.0,204.0,0.0,0.0,0.0,10025.0,0.0,19281.0,0.0,0.0,0.0,0.0,0.0,0.0
ChbaghR,0.0,0.0,0.0,0.0,0.0,37.0,45082.0,336549.0,0.0,0.0,0.0,0.0,0.0,88707.0,0.0,7439.0,0.0,0.0,0.0,3131.0,0.0,62.0
ChbaghR,0.0,0.0,0.0,0.0,0.0,0.0,824.0,75742.0,0.0,0.0,0.0,0.0,2075.0,30026.0,0.0,0.0,0.0,0.0,0.0,2620.0,0.0,55616.0
